[Wed Jan  9 18:12:45 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00112s ; return: True
[Wed Jan  9 18:46:26 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00135s ; return: True
[Wed Jan  9 18:50:55 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00142s ; return: True
[Wed Jan  9 18:56:07 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00093s ; return: True
[Wed Jan  9 18:57:36 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00251s ; return: True
[Wed Jan  9 19:02:07 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00117s ; return: False
[Wed Jan  9 19:16:02 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00268s ; return: True
[Wed Jan  9 22:06:18 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00174s ; return: True
[Wed Jan  9 22:13:09 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00170s ; return: True
[Wed Jan  9 22:22:17 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00213s ; return: True
[Wed Jan  9 22:23:24 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00164s ; return: True
[Wed Jan  9 22:24:14 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00125s ; return: True
[Wed Jan  9 22:33:16 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00199s ; return: True
[Wed Jan  9 22:42:10 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00173s ; return: True
[Wed Jan  9 22:49:06 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00166s ; return: True
[Wed Jan  9 22:55:05 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00223s ; return: True
[Wed Jan  9 22:59:44 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00095s ; return: True
[Wed Jan  9 23:00:42 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00105s ; return: True
[Wed Jan  9 23:01:54 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00307s ; return: True
[Wed Jan  9 23:07:05 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00171s ; return: True
[Wed Jan  9 23:07:48 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00064s ; return: True
[Wed Jan  9 23:10:59 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00186s ; return: True
[Wed Jan  9 23:20:48 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00270s ; return: True
[Wed Jan  9 23:32:54 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00453s ; return: False
[Wed Jan  9 23:33:50 2019] name: hasCycleUF ; nodes: 5 ; edges: 10 ; elapsed: 0.00280s ; return: True
[Wed Jan  9 23:35:59 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00451s ; return: False
[Wed Jan  9 23:46:06 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.00483s ; return: False
[Wed Jan  9 23:50:12 2019] name: hasCycleUF ; nodes: 1 ; edges: 0 ; elapsed: 9.91821s ; return: False
[Wed Jan  9 23:50:38 2019] name: hasCycleUF ; nodes: 1 ; edges: 0 ; elapsed: 9.79900s ; return: False
[Wed Jan  9 23:51:35 2019] name: hasCycleUF ; nodes: 2 ; edges: 2 ; elapsed: 0.00058s ; return: False
[Thu Jan 10 00:17:36 2019] name: hasCycleUF ; nodes: 5 ; edges: 10 ; elapsed: 0.00055s ; return: True
[Thu Jan 10 00:21:11 2019] name: hasCycleUF ; nodes: 5 ; edges: 10 ; elapsed: 0.00078s ; return: True
[Thu Jan 10 00:26:56 2019] name: hasCycleUF ; nodes: 5 ; edges: 10 ; elapsed: 0.000878s ; return: True
[Thu Jan 10 00:27:16 2019] name: hasCycleUF ; nodes: 5 ; edges: 10 ; elapsed: 0.0s ; return: True
[Thu Jan 10 00:28:21 2019] name: hasCycleUF ; nodes: 5 ; edges: 8 ; elapsed: 0.0s ; return: False
